lat,lon,State,panel.area,power,panels,landscape.area,water,urban,Address,demand_10km_MWh,demand_20km_MWh,demand_50km_MWh,land_cover,min distance to city (in miles),slope,elevation
37.4051763,-122.0847692,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"1625 San Luis Ave, Mountain View, CA 94043, USA",5801624.736842105,10215782.736842103,10549829.736842103,0.0,1.416,0,13
37.8471729,-122.2715295,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"3372 Martin Luther King Jr Way, Berkeley, CA 94703, USA",5308201.736842105,6235439.736842105,7062909.736842105,1.0,3.3332,1,29
37.1544497,-121.5602301,CA,0.0001406266846412,,1.0,0.0,0.0,0.0,"16600 Finley Ridge Rd, Morgan Hill, CA 95037, USA",4974154.736842105,4974154.736842105,9388312.736842103,1.0,33.7577,9,639
38.0069813,-122.086832,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"150 Nardi Ln, Martinez, CA 94553, USA",4974154.736842105,4974154.736842105,6235439.736842105,0.0,11.8221,3,5
38.0898882,-122.1426351,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"3VQ4+XW Benicia, CA, USA",4974154.736842105,4974154.736842105,6235439.736842105,1.0,16.3706,2,17
37.9737295,-122.3638504,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"2800 Goodrick Ave, Richmond, CA 94801, USA",4974154.736842105,4974154.736842105,6235439.736842105,0.0,4.962,0,4
38.0862958,-122.1396794,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"4501 California Ct Suite B, Benicia, CA 94510, USA",4974154.736842105,4974154.736842105,6235439.736842105,0.0,15.9268,1,12
38.4300017,-122.7255246,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"400 Sebastopol Rd, Santa Rosa, CA 95407, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,2.9868,0,44
38.4591205,-122.7449891,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"2531 Shawnee St, Santa Rosa, CA 95403, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,4.589,0,38
38.436029,-122.7223877,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"3 W 3rd St, Santa Rosa, CA 95401, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,2.035,2,48
38.4888689,-122.7776581,CA,0.0001406266846412,,1.0,0.0,0.0,0.0,"3005 Parnell Rd, Fulton, CA 95439, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,10.8454,1,42
38.453198,-122.731544,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"1508 Range Ave, Santa Rosa, CA 95401, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,2.9263000000000003,0,43
38.4239634,-122.7807543,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"4539 Occidental Rd, Santa Rosa, CA 95401, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,8.4,0,30
38.4271074,-122.7856681,CA,0.0001406266846412,,1.0,0.0,0.0,0.0,"672 Irwin Ln, Santa Rosa, CA 95401, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,9.307,1,28
37.9414521,-122.007725,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"3536 Windmill Way, Concord, CA 94518, USA",4974154.736842105,4974154.736842105,6235439.736842105,1.0,5.3769,6,53
39.3703737,-123.3024709,CA,0.0001406266846412,,1.0,0.0,0.0,0.0,"9MCX+42 Willits, CA, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,128.22039999999998,13,496
33.8373954999999,-117.3716772,CA,0.0001406266846412,,1.0,0.0,0.0,0.0,"RJPH+X8 Lake Mathews, CA, USA",4974154.736842105,7477742.736842105,10053412.736842103,1.0,13.8625,3,449
33.9944764999999,-117.4297158,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"6305 45th St, Riverside, CA 92509, USA",7180264.736842105,7831485.736842105,10290756.736842103,1.0,6.199199999999999,3,266
37.7564202566745,-122.198718031487,CA,0.0029531603774658,,21.0,0.0180860153133571,0.0,1.0,"6865 Leona Creek Dr, Oakland, CA 94621, USA",5308201.736842105,6235439.736842105,11477067.736842103,1.0,5.320399999999999,0,4
37.7027656058429,-121.950435688049,CA,0.0074532142859853,,53.0,0.808379351448357,0.0,1.0,"7472 Hansen Dr, Dublin, CA 94568, USA",4974154.736842105,4974154.736842105,11477067.736842103,1.0,9.5623,8,181
38.4607367081012,-122.717165162035,CA,0.0011250134771298,,8.0,0.0881168760316372,0.0,1.0,"2145 Mendocino Ave, Santa Rosa, CA 95401, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,2.6158,1,49
38.4438933747365,-122.716199592312,CA,0.0019687735849772,,14.0,0.634595302835465,0.0,1.0,"542 Mendocino Ave, Santa Rosa, CA 95401, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,1.2054,0,50
38.4024617956518,-122.821371878727,CA,0.001265640161771,,9.0,0.089740963566184,0.0,1.0,"6826 CA-12, Sebastopol, CA 95472, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,11.866700000000002,1,24
38.3935497302596,-122.819774088719,CA,0.0004218800539236,,3.0,0.0029071453287601,0.0,1.0,"7084 Fellers Ln, Sebastopol, CA 95472, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,13.3591,3,36
38.4086396496439,-122.826312849093,CA,0.0002812533692824,,2.0,0.0001455669680833,0.0,1.0,"769 High School Rd, Sebastopol, CA 95472, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,13.031,2,29
38.4086017997997,-122.820162549308,CA,0.0002812533692824,,2.0,0.000101247149676,0.0,0.0,"390 Morris St, Sebastopol, CA 95472, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,12.3191,1,22
38.4450368999583,-122.730913700277,CA,0.0002812533692824,,2.0,0.0002881051162928,0.0,1.0,"1001 Kingwood St, Santa Rosa, CA 95401, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,2.2334,1,43
