,lng,lat,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
0,-122.0847692,37.4051763,7.0,2573421.0,1.416,35.092400000000005,Mountain View,"(37.4001, -122.0796)","[1.416, 7.956300000000001, 14.0357, 19.431, 29.5442, 29.923, 35.092400000000005]","[82409, 155550, 127922, 83905, 1729879, 231502, 162254]","['Mountain View', 'Sunnyvale', 'Santa Clara', 'Redwood City', 'San Jose', 'Fremont', 'Hayward']","[(37.4001, -122.0796), (37.3836, -122.0255), (37.3646, -121.968), (37.5025, -122.2253), (37.3012, -121.848), (37.5265, -121.9843), (37.6328, -122.0766)]",
1,-122.2715295,37.8471729,5.0,4054205.0,3.3331999999999997,21.9418,Berkeley,"(37.8722, -122.276)","[3.3331999999999997, 9.5241, 16.0637, 21.7972, 21.9418]","[119607, 437548, 115677, 3290197, 91176]","['Berkeley', 'Oakland', 'Richmond', 'San Francisco', 'San Leandro']","[(37.8722, -122.276), (37.7904, -122.2166), (37.9477, -122.3389), (37.7558, -122.4449), (37.7074, -122.1599)]",
2,-121.5602301,37.1544497,2.0,1844340.0,33.7577,46.0568,Gilroy,"(37.0046, -121.5854)","[33.7577, 46.0568]","[114461, 1729879]","['Gilroy', 'San Jose']","[(37.0046, -121.5854), (37.3012, -121.848)]",
3,-122.086832,38.0069813,4.0,1082992.0,11.8221,37.530800000000006,Concord,"(37.9722, -122.0016)","[11.8221, 20.3322, 32.7919, 37.530800000000006]","[640270, 181882, 115677, 145163]","['Concord', 'Vallejo', 'Richmond', 'Fairfield']","[(37.9722, -122.0016), (38.1125, -122.2342), (37.9477, -122.3389), (38.2583, -122.0335)]",
4,-122.1426351,38.0898882,4.0,1082992.0,16.3706,34.968,Vallejo,"(38.1125, -122.2342)","[16.3706, 22.8395, 31.6755, 34.968]","[181882, 640270, 145163, 115677]","['Vallejo', 'Concord', 'Fairfield', 'Richmond']","[(38.1125, -122.2342), (37.9722, -122.0016), (38.2583, -122.0335), (37.9477, -122.3389)]",
5,-122.3638504,37.9737295,4.0,3707363.0,4.962,39.4991,Richmond,"(37.9477, -122.3389)","[4.962, 20.3376, 24.3992, 39.4991]","[115677, 119607, 181882, 3290197]","['Richmond', 'Berkeley', 'Vallejo', 'San Francisco']","[(37.9477, -122.3389), (37.8722, -122.276), (38.1125, -122.2342), (37.7558, -122.4449)]",
6,-122.1396794,38.0862958,4.0,1082992.0,15.9268,34.524300000000004,Vallejo,"(38.1125, -122.2342)","[15.9268, 22.3957, 31.2317, 34.524300000000004]","[181882, 640270, 145163, 115677]","['Vallejo', 'Concord', 'Fairfield', 'Richmond']","[(38.1125, -122.2342), (37.9722, -122.0016), (38.2583, -122.0335), (37.9477, -122.3389)]",
7,-122.7255246,38.4300017,7.0,4235501.0,2.9868,100.6948,Santa Rosa,"(38.4458, -122.7067)","[2.9868, 64.5255, 69.3418, 79.16210000000001, 88.0361, 88.6267, 100.6948]","[314196, 86130, 181882, 115677, 145163, 3290197, 102256]","['Santa Rosa', 'Napa', 'Vallejo', 'Richmond', 'Fairfield', 'San Francisco', 'Vacaville']","[(38.4458, -122.7067), (38.2975, -122.301), (38.1125, -122.2342), (37.9477, -122.3389), (38.2583, -122.0335), (37.7558, -122.4449), (38.3587, -121.9673)]",
8,-122.7449891,38.4591205,7.0,4235501.0,4.589,104.51289999999999,Santa Rosa,"(38.4458, -122.7067)","[4.589, 68.3435, 73.1598, 82.98010000000001, 91.8541, 92.4448, 104.51289999999999]","[314196, 86130, 181882, 115677, 145163, 3290197, 102256]","['Santa Rosa', 'Napa', 'Vallejo', 'Richmond', 'Fairfield', 'San Francisco', 'Vacaville']","[(38.4458, -122.7067), (38.2975, -122.301), (38.1125, -122.2342), (37.9477, -122.3389), (38.2583, -122.0335), (37.7558, -122.4449), (38.3587, -121.9673)]",
9,-122.7223877,38.436029,7.0,4235501.0,2.035,100.4769,Santa Rosa,"(38.4458, -122.7067)","[2.035, 64.3075, 69.1238, 78.9442, 87.81819999999999, 88.4088, 100.4769]","[314196, 86130, 181882, 115677, 145163, 3290197, 102256]","['Santa Rosa', 'Napa', 'Vallejo', 'Richmond', 'Fairfield', 'San Francisco', 'Vacaville']","[(38.4458, -122.7067), (38.2975, -122.301), (38.1125, -122.2342), (37.9477, -122.3389), (38.2583, -122.0335), (37.7558, -122.4449), (38.3587, -121.9673)]",
10,-122.7776581,38.4888689,7.0,4235501.0,10.8454,110.4682,Santa Rosa,"(38.4458, -122.7067)","[10.8454, 74.2988, 79.11510000000001, 88.9355, 97.8095, 98.40010000000001, 110.4682]","[314196, 86130, 181882, 115677, 145163, 3290197, 102256]","['Santa Rosa', 'Napa', 'Vallejo', 'Richmond', 'Fairfield', 'San Francisco', 'Vacaville']","[(38.4458, -122.7067), (38.2975, -122.301), (38.1125, -122.2342), (37.9477, -122.3389), (38.2583, -122.0335), (37.7558, -122.4449), (38.3587, -121.9673)]",
11,-122.731544,38.453198,7.0,4235501.0,2.9263000000000003,102.55669999999999,Santa Rosa,"(38.4458, -122.7067)","[2.9263000000000003, 66.3873, 71.20360000000001, 81.0239, 89.898, 90.4886, 102.55669999999999]","[314196, 86130, 181882, 115677, 145163, 3290197, 102256]","['Santa Rosa', 'Napa', 'Vallejo', 'Richmond', 'Fairfield', 'San Francisco', 'Vacaville']","[(38.4458, -122.7067), (38.2975, -122.301), (38.1125, -122.2342), (37.9477, -122.3389), (38.2583, -122.0335), (37.7558, -122.4449), (38.3587, -121.9673)]",
12,-122.7807543,38.4239634,7.0,4235501.0,8.4,106.1067,Santa Rosa,"(38.4458, -122.7067)","[8.4, 69.9374, 74.7537, 84.574, 93.448, 94.0386, 106.1067]","[314196, 86130, 181882, 115677, 145163, 3290197, 102256]","['Santa Rosa', 'Napa', 'Vallejo', 'Richmond', 'Fairfield', 'San Francisco', 'Vacaville']","[(38.4458, -122.7067), (38.2975, -122.301), (38.1125, -122.2342), (37.9477, -122.3389), (38.2583, -122.0335), (37.7558, -122.4449), (38.3587, -121.9673)]",
13,-122.7856681,38.4271074,7.0,4235501.0,9.307,107.0137,Santa Rosa,"(38.4458, -122.7067)","[9.307, 70.8444, 75.66069999999999, 85.481, 94.355, 94.9456, 107.0137]","[314196, 86130, 181882, 115677, 145163, 3290197, 102256]","['Santa Rosa', 'Napa', 'Vallejo', 'Richmond', 'Fairfield', 'San Francisco', 'Vacaville']","[(38.4458, -122.7067), (38.2975, -122.301), (38.1125, -122.2342), (37.9477, -122.3389), (38.2583, -122.0335), (37.7558, -122.4449), (38.3587, -121.9673)]",
14,-122.007725,37.9414521,3.0,1048754.0,5.3769,31.4254,Concord,"(37.9722, -122.0016)","[5.3769, 28.8403, 31.4254]","[640270, 322796, 85688]","['Concord', 'Antioch', 'San Ramon']","[(37.9722, -122.0016), (37.9787, -121.796), (37.7624, -121.9365)]",
15,-123.3024709,39.3703737,7.0,1047630.0,128.22039999999998,310.1726,Santa Rosa,"(38.4458, -122.7067)","[128.22039999999998, 172.0207, 196.4901, 200.1697, 227.84320000000002, 250.66570000000002, 310.1726]","[314196, 86130, 181882, 129536, 102256, 112132, 121498]","['Santa Rosa', 'Napa', 'Vallejo', 'Yuba City', 'Vacaville', 'Chico', 'Redding']","[(38.4458, -122.7067), (38.2975, -122.301), (38.1125, -122.2342), (39.1357, -121.6383), (38.3587, -121.9673), (39.7578, -121.8161), (40.5698, -122.365)]",
16,-117.3716772,33.8373954999999,1.0,2022285.0,13.8625,13.8625,Riverside,"(33.9381, -117.3949)",[13.8625],[2022285],['Riverside'],"[(33.9381, -117.3949)]",
17,-117.4297158,33.9944764999999,2.0,2126969.0,6.199199999999999,12.5805,Jurupa Valley,"(34.001, -117.4706)","[6.199199999999999, 12.5805]","[104684, 2022285]","['Jurupa Valley', 'Riverside']","[(34.001, -117.4706), (33.9381, -117.3949)]",
18,-122.198718031487,37.7564202566745,5.0,4100782.0,5.320399999999999,31.3852,Oakland,"(37.7904, -122.2166)","[5.320399999999999, 8.1735, 18.7605, 19.4558, 31.3852]","[437548, 91176, 119607, 162254, 3290197]","['Oakland', 'San Leandro', 'Berkeley', 'Hayward', 'San Francisco']","[(37.7904, -122.2166), (37.7074, -122.1599), (37.8722, -122.276), (37.6328, -122.0766), (37.7558, -122.4449)]",
19,-121.950435688049,37.7027656058429,6.0,1299293.0,9.562299999999999,39.9275,San Ramon,"(37.7624, -121.9365)","[9.562299999999999, 19.315900000000003, 23.772299999999998, 24.8228, 31.269599999999997, 39.9275]","[85688, 88403, 162254, 91176, 231502, 640270]","['San Ramon', 'Livermore', 'Hayward', 'San Leandro', 'Fremont', 'Concord']","[(37.7624, -121.9365), (37.6868, -121.7607), (37.6328, -122.0766), (37.7074, -122.1599), (37.5265, -121.9843), (37.9722, -122.0016)]",
20,-122.717165162035,38.4607367081012,7.0,4235501.0,2.6158,93.3435,Santa Rosa,"(38.4458, -122.7067)","[2.6158, 57.174099999999996, 72.3532, 80.68480000000001, 82.17360000000001, 91.6382, 93.3435]","[314196, 86130, 181882, 145163, 115677, 3290197, 102256]","['Santa Rosa', 'Napa', 'Vallejo', 'Fairfield', 'Richmond', 'San Francisco', 'Vacaville']","[(38.4458, -122.7067), (38.2975, -122.301), (38.1125, -122.2342), (38.2583, -122.0335), (37.9477, -122.3389), (37.7558, -122.4449), (38.3587, -121.9673)]",
21,-122.716199592312,38.4438933747365,7.0,4235501.0,1.2054,93.1935,Santa Rosa,"(38.4458, -122.7067)","[1.2054, 57.0242, 69.8552, 79.6755, 80.5348, 89.1401, 93.1935]","[314196, 86130, 181882, 115677, 145163, 3290197, 102256]","['Santa Rosa', 'Napa', 'Vallejo', 'Richmond', 'Fairfield', 'San Francisco', 'Vacaville']","[(38.4458, -122.7067), (38.2975, -122.301), (38.1125, -122.2342), (37.9477, -122.3389), (38.2583, -122.0335), (37.7558, -122.4449), (38.3587, -121.9673)]",
