,lng,lat,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
0,-124.08354050275032,41.12193325057913,1.0,121498.0,319.3152,319.3152,Redding,"(40.5698, -122.365)",[319.3152],[121498],['Redding'],"[(40.5698, -122.365)]",
1,-120.6103588216006,34.57130492100674,1.0,142230.0,73.79889999999999,73.79889999999999,Santa Maria,"(34.9333, -120.4431)",[73.79889999999999],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
2,-121.83999457206976,37.42620562583531,1.0,1729879.0,25.944599999999998,25.944599999999998,San Jose,"(37.3012, -121.848)",[25.944599999999998],[1729879],['San Jose'],"[(37.3012, -121.848)]",
3,-117.07245946937358,33.75003211550811,1.0,191170.0,10.889,10.889,Hemet,"(33.7341, -116.9969)",[10.889],[191170],['Hemet'],"[(33.7341, -116.9969)]",
4,-121.06338251914188,35.70544355717151,1.0,142230.0,134.2791,134.2791,Santa Maria,"(34.9333, -120.4431)",[134.2791],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
5,-123.80309726141525,40.16378164416407,1.0,121498.0,348.5817,348.5817,Redding,"(40.5698, -122.365)",[348.5817],[121498],['Redding'],"[(40.5698, -122.365)]",
6,-122.20672804150792,38.83410186383296,2.0,188386.0,70.4837,115.1582,Vacaville,"(38.3587, -121.9673)","[70.4837, 115.1582]","[102256, 86130]","['Vacaville', 'Napa']","[(38.3587, -121.9673), (38.2975, -122.301)]",
7,-119.29443284302836,34.4344261200903,1.0,110572.0,28.1256,28.1256,San Buenaventura,"(34.2741, -119.2314)",[28.1256],[110572],['San Buenaventura'],"[(34.2741, -119.2314)]",
8,-114.74262331058992,35.04060366700595,1.0,361831.0,295.2582,295.2582,Indio,"(33.7346, -116.2346)",[295.2582],[361831],['Indio'],"[(33.7346, -116.2346)]",
9,-120.1141900100078,36.213850532004,2.0,178231.0,48.7394,88.05369999999999,Hanford,"(36.3274, -119.6549)","[48.7394, 88.05369999999999]","[95459, 82772]","['Hanford', 'Madera']","[(36.3274, -119.6549), (36.963, -120.0778)]",
10,-119.12185238682216,37.77817968533472,1.0,118488.0,279.3964,279.3964,Clovis,"(36.8278, -119.683)",[279.3964],[118488],['Clovis'],"[(36.8278, -119.683)]",
11,-116.33899253049724,32.655001708176606,1.0,274818.0,108.0967,108.0967,Chula Vista,"(32.6281, -117.0144)",[108.0967],[274818],['Chula Vista'],"[(32.6281, -117.0144)]",
12,-116.70572599993542,34.27799320475723,1.0,220821.0,142.434,142.434,San Bernardino,"(34.1416, -117.2943)",[142.434],[220821],['San Bernardino'],"[(34.1416, -117.2943)]",
13,-117.28818503963132,35.76410590042141,1.0,389060.0,169.82129999999998,169.82129999999998,Victorville,"(34.5277, -117.3536)",[169.82129999999998],[389060],['Victorville'],"[(34.5277, -117.3536)]",
14,-117.11560458342514,33.632707429008306,1.0,101089.0,12.9922,12.9922,Menifee,"(33.6909, -117.1849)",[12.9922],[101089],['Menifee'],"[(33.6909, -117.1849)]",
15,-115.67024326269824,34.74729195075645,1.0,361831.0,219.991,219.991,Indio,"(33.7346, -116.2346)",[219.991],[361831],['Indio'],"[(33.7346, -116.2346)]",
16,-121.66741411586356,41.92365194166113,1.0,121498.0,225.2505,225.2505,Redding,"(40.5698, -122.365)",[225.2505],[121498],['Redding'],"[(40.5698, -122.365)]",
17,-121.9694299142244,38.42346546108364,1.0,102256.0,10.348600000000001,10.348600000000001,Vacaville,"(38.3587, -121.9673)",[10.348600000000001],[102256],['Vacaville'],"[(38.3587, -121.9673)]",
18,-120.41620580836864,37.05467745191926,1.0,157617.0,34.819,34.819,Merced,"(37.3057, -120.4779)",[34.819],[157617],['Merced'],"[(37.3057, -120.4779)]",
19,-120.07104489595623,40.82862153432962,1.0,121498.0,294.53159999999997,294.53159999999997,Redding,"(40.5698, -122.365)",[294.53159999999997],[121498],['Redding'],"[(40.5698, -122.365)]",
20,-119.66116631246652,35.392577726505365,1.0,590845.0,64.9466,64.9466,Bakersfield,"(35.3529, -119.0359)",[64.9466],[590845],['Bakersfield'],"[(35.3529, -119.0359)]",
21,-121.1281001902192,38.57989837641671,2.0,183430.0,28.0107,36.4855,Citrus Heights,"(38.6948, -121.288)","[28.0107, 36.4855]","[87521, 95909]","['Citrus Heights', 'Arden-Arcade']","[(38.6948, -121.288), (38.6017, -121.3845)]",
22,-115.10935678002812,33.49582862809187,1.0,110434.0,201.30829999999997,201.30829999999997,El Centro,"(32.7865, -115.5595)",[201.30829999999997],[110434],['El Centro'],"[(32.7865, -115.5595)]",
23,-116.59786321480657,33.163408683009095,1.0,151443.0,73.457,73.457,Escondido,"(33.1348, -117.0723)",[73.457],[151443],['Escondido'],"[(33.1348, -117.0723)]",
24,-123.56579913413174,40.76995919107972,1.0,121498.0,184.6145,184.6145,Redding,"(40.5698, -122.365)",[184.6145],[121498],['Redding'],"[(40.5698, -122.365)]",
25,-119.72588398354388,38.24747843133393,1.0,118488.0,284.0564,284.0564,Clovis,"(36.8278, -119.683)",[284.0564],[118488],['Clovis'],"[(36.8278, -119.683)]",
26,-121.77527690099244,39.2642923809989,1.0,129536.0,26.897,26.897,Yuba City,"(39.1357, -121.6383)",[26.897],[129536],['Yuba City'],"[(39.1357, -121.6383)]",
27,-117.52548316691484,37.05467745191926,1.0,118488.0,597.1161,597.1161,Clovis,"(36.8278, -119.683)",[597.1161],[118488],['Clovis'],"[(36.8278, -119.683)]",
28,-116.94302412721896,35.37302361208874,1.0,389060.0,146.3561,146.3561,Victorville,"(34.5277, -117.3536)",[146.3561],[389060],['Victorville'],"[(34.5277, -117.3536)]",
29,-121.1281001902192,38.83410186383296,1.0,145687.0,24.4593,24.4593,Roseville,"(38.7703, -121.3196)",[24.4593],[145687],['Roseville'],"[(38.7703, -121.3196)]",
30,-115.10935678002812,32.94831342442612,1.0,110434.0,63.8677,63.8677,El Centro,"(32.7865, -115.5595)",[63.8677],[110434],['El Centro'],"[(32.7865, -115.5595)]",
31,-117.02931435532204,36.3311752185038,1.0,389060.0,450.6814,450.6814,Victorville,"(34.5277, -117.3536)",[450.6814],[389060],['Victorville'],"[(34.5277, -117.3536)]",
32,-116.0369767321364,35.68588944275488,1.0,361831.0,438.8009,438.8009,Indio,"(33.7346, -116.2346)",[438.8009],[361831],['Indio'],"[(33.7346, -116.2346)]",
33,-122.61660662499764,41.80632725516132,1.0,121498.0,169.8691,169.8691,Redding,"(40.5698, -122.365)",[169.8691],[121498],['Redding'],"[(40.5698, -122.365)]",
34,-122.89704986633272,38.1105996304175,1.0,314196.0,70.72460000000001,70.72460000000001,Santa Rosa,"(38.4458, -122.7067)",[70.72460000000001],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
