lat,lon,Solar_farm_present,State,panel.area,power,panels,landscape.area,water,urban,Address,slope,land_cover,elevation,solrad_annual,ac_monthly,poa_monthly,solrad_monthly,dc_monthly,ac_annual,demand_5km_MWh,demand_10km_MWh,demand_20km_MWh,demand_50km_MWh
41.12193325057913,-124.08354050275032,,CA,,,,,,,,10.0,1.0,241.0,4.647099275026171,"[74220.87028531785, 81853.14136114981, 113785.0799936101, 129443.086051223, 134409.5390699147, 136991.5953661952, 134630.2606029398, 139923.942983131, 135359.7002916804, 113831.0553451813, 81029.4413552316, 75615.36809488248]","[89.71184293662846, 99.27773039711408, 142.2440643032005, 160.8233272309292, 170.0165159921372, 175.7011134160204, 173.7504666150473, 179.9519569229116, 174.2993066889748, 142.0145233258986, 98.38614505959957, 91.60004132268426]","[2.893930417310596, 3.54563322846836, 4.588518203329048, 5.360777574364306, 5.484403741681846, 5.856703780534013, 5.604853761775721, 5.804901836222956, 5.809976889632494, 4.581113655674149, 3.279538168653319, 2.954840042667234]","[78072.6330660135, 86028.3788149819, 119490.9077191732, 135868.8543818723, 141124.4785238244, 143872.8036770389, 141445.4038556836, 146749.0457215087, 141835.2612632627, 119349.7886315275, 85198.23177742645, 79499.20164516628]",1351093.080800458,0.0,0.0,0.0,0.0
34.57130492100674,-120.6103588216006,,CA,,,,,,,,11.0,1.0,244.0,5.449958444286346,"[126910.2673240865, 120953.4951399055, 141626.643903576, 147718.4812966679, 147279.3802265693, 124330.1473190771, 117403.1932568077, 127875.0687060946, 141449.9993515715, 144638.5336654454, 131771.8850727435, 112761.7094460593]","[157.4086237937431, 149.0061670892798, 176.2435592589978, 184.0471836794806, 185.4276552889643, 157.4859502812591, 149.7692283068014, 163.3341521123758, 180.1341770257494, 182.3140029321221, 162.5917049243477, 140.8485562438537]","[5.07769754173365, 5.321648824617137, 5.685276105128961, 6.134906122649353, 5.981537267385945, 5.249531676041971, 4.831265429251658, 5.268843616528251, 6.00447256752498, 5.881096868778132, 5.419723497478258, 4.543501814317861]","[132842.0433185665, 126964.0270624705, 148524.3035475541, 154691.8087704033, 154467.1650574204, 130623.3481676083, 123491.9520149607, 134240.9999551969, 148125.5593777511, 151441.5908907572, 137868.6390974433, 118154.4194341644]",1584718.804708606,0.0,0.0,0.0,0.0
37.42620562583531,-121.83999457206976,,CA,,,,,,,,12.0,1.0,359.0,5.776465867304057,"[93296.39819471513, 94001.73832147277, 148309.9843760818, 145220.1390672891, 153007.5963271839, 150731.3871664155, 168409.4786669461, 171224.8542507324, 158364.1014524816, 143230.4252460636, 110007.9697607786, 95941.747180715]","[115.084787852927, 118.3805626840665, 188.1425199856081, 187.3386346385504, 199.9557287490782, 199.5345974017351, 223.1331388819654, 226.8064817859799, 211.6975974076257, 184.8929058937267, 138.7105249567911, 117.9081455360812]","[3.712412511384743, 4.227877238716659, 6.069113547922842, 6.244621154618347, 6.450184798357363, 6.651153246724502, 7.19784318974082, 7.316338122128384, 7.056586580254191, 5.964287286894411, 4.623684165226371, 3.803488565680038]","[97913.03195989196, 98663.10917491073, 155325.5819508064, 152185.9589344106, 160401.1147233602, 157990.7603515787, 176379.4914720955, 179203.2928277655, 165660.9563776599, 149867.7876118102, 115275.1658890591, 100678.9567013176]",1631745.820010875,0.0,0.0,4414158.0,5241628.0
33.75003211550811,-117.07245946937358,,CA,,,,,,,,12.0,1.0,607.0,6.246079945563607,"[135309.814274307, 123283.186730356, 151155.0789023098, 146581.6887384042, 146615.4643036872, 147492.045639317, 149067.1189260222, 154989.9360372222, 158665.568987846, 153756.3292817654, 136478.3220146646, 125910.7915522976]","[170.4540593143596, 156.1909634208012, 197.3809637608403, 192.9120834292611, 196.0393140066115, 201.088513300471, 204.6600490594375, 214.3656413798313, 215.7629909983671, 201.6594093164174, 174.4858198481308, 155.6655389151252]","[5.498518042398696, 5.578248693600041, 6.367127863252913, 6.430402780975371, 6.323848838922952, 6.702950443349035, 6.601937066433466, 6.915020689671978, 7.192099699945572, 6.505142236013464, 5.816193994937694, 5.021468997262104]","[141635.9382116481, 129010.6773886973, 158297.009709276, 153518.4583408622, 153743.7677951926, 154633.6584987468, 156322.4680845158, 162375.394003122, 165957.1177749937, 160831.5199652653, 142788.0080707994, 131783.2523249042]",1729305.345388197,0.0,0.0,0.0,2857331.0
35.70544355717151,-121.06338251914188,,CA,,,,,,,,10.0,1.0,506.0,6.172914238435265,"[118738.5864463819, 113457.5578228151, 148653.4828710413, 155068.9492885421, 163726.4156896348, 164536.7695304497, 167014.1756704705, 174253.410931375, 169886.2915588626, 159694.5472833694, 130504.3192672381, 108004.971485779]","[145.3158467865841, 140.9581036133796, 186.9414842535989, 195.465561558056, 207.6201254583679, 212.8041720783516, 218.1999732248351, 227.5965195308326, 220.2224535175533, 202.4755069510536, 163.6869020306234, 133.5288240966199]","[4.687607960857552, 5.034217986192131, 6.030370459793514, 6.515518718601867, 6.697423401882837, 7.09347240261172, 7.038708813704357, 7.341823210672019, 7.340748450585109, 6.531467966163018, 5.456230067687446, 4.30738142247161]","[124417.4689334649, 118908.0059730483, 155818.0382012713, 162407.6944880766, 171518.5433720617, 172306.9874503305, 174932.9310898423, 182326.4333134975, 177632.995282158, 167022.2721222854, 136531.0235554126, 113211.7282588129]",1773539.477845962,0.0,0.0,0.0,0.0
40.16378164416407,-123.80309726141525,,CA,,,,,,,,10.0,1.0,259.0,5.288197438282695,"[78874.63709386396, 96020.98724379353, 117072.1911923635, 121469.311385215, 142645.4505164061, 146389.5716734327, 163367.7011796383, 159125.1474561104, 151813.2492555575, 129585.7349694854, 90411.58424163755, 69928.50239685355]","[98.29442090196048, 120.5500514221331, 149.6610405547736, 159.0090555309029, 186.9757012071317, 196.4923946619855, 223.5693544382247, 216.8635080910631, 207.4428324668192, 170.1181242853532, 115.2904695781009, 87.41859189003472]","[3.170787771030983, 4.305358979361897, 4.82777550176689, 5.300301851030095, 6.03147423248812, 6.549746488732851, 7.211914659297571, 6.995597035195583, 6.914761082227306, 5.48768142855978, 3.843015652603364, 2.819954577097894]","[82905.69450800511, 100755.1507616754, 122803.5120135719, 127518.7585834535, 149655.9511679768, 153599.971682612, 171226.2143420034, 166653.3894652382, 158888.8834032187, 135683.0114692194, 94953.42033080006, 73612.90269279576]",1466704.068604359,0.0,0.0,0.0,0.0
38.83410186383296,-122.20672804150792,,CA,,,,,,,,1.0,1.0,119.0,5.799353022084148,"[91867.22316138324, 91431.71187978445, 136745.1618695921, 142494.385440452, 157130.0132809119, 149636.8125131451, 160424.0397711466, 163599.249387934, 160517.0631473758, 139820.8810368711, 114132.0124685528, 96152.4947871904]","[111.3757393007301, 113.5441593565179, 173.9919735941693, 185.99903712443, 210.3383699867649, 207.7197834658182, 224.5741933385721, 227.4612107665075, 220.0251233694701, 183.9309466979432, 143.1820615604905, 117.8204131578749]","[3.592765783894518, 4.055148548447066, 5.612644309489331, 6.199967904147666, 6.785108709250482, 6.92399278219394, 7.244328817373294, 7.337458411822821, 7.334170778982336, 5.933256345094942, 4.772735385349682, 3.800658488963705]","[96396.36328287958, 95989.6715148027, 143275.7485513603, 149310.9835562714, 164682.9939424954, 156859.6705786904, 168100.7021548331, 171306.6606508246, 167890.5753829391, 146319.8227391383, 119551.7656167626, 100857.5495124901]",1603951.048744342,0.0,0.0,0.0,0.0
34.4344261200903,-119.29443284302836,,CA,,,,,,,,2.0,,187.0,5.999903582136279,"[123989.6190192702, 116057.0788240343, 134934.6845682525, 137728.444594177, 135044.4987422255, 128439.9837998974, 142985.5222995603, 154266.6106469309, 141405.7809812686, 143582.1536479744, 127573.4371743253, 113738.1894924992]","[162.1632807718086, 151.8060165752545, 180.7887084062398, 187.3836146036555, 188.0209965639196, 181.8993001215324, 205.8230338355593, 222.2948734427903, 200.1105885711844, 195.0164088003625, 169.9180768359765, 145.8305843413189]","[5.23107357328415, 5.421643449116232, 5.831893819556123, 6.246120486788517, 6.065193437545792, 6.06331000405108, 6.639452704372881, 7.170802369122269, 6.670352952372813, 6.290851896785886, 5.663935894532549, 4.704212398107059]","[129813.753240959, 121531.0369157142, 141384.4015227277, 144323.0660299629, 141781.8038575602, 134884.1622314425, 150021.2035105399, 161612.9045706725, 148078.9376531047, 150261.4391309008, 133505.8914816695, 119172.4502658994]",1599746.003790418,0.0,0.0,0.0,0.0
35.04060366700595,-114.74262331058992,,CA,,,,,,,,33.0,1.0,818.0,6.493370189327289,"[128803.6168523636, 139962.6190821721, 167803.1941357935, 161909.7894975635, 164634.8679123156, 153756.3873602199, 144780.8962350572, 152843.0127935705, 160974.067151022, 164915.3659839887, 142143.9006438165, 130282.8548285564]","[157.7959313903957, 172.6453210892595, 214.2024482778622, 209.9745067627823, 221.5745919729403, 210.4332698855415, 202.0252518355027, 212.2694488088156, 217.1343220610676, 215.2462609390738, 178.9934346051131, 157.5233587170642]","[5.090191335174056, 6.165904324616411, 6.909756396060072, 6.999150225426075, 7.147567482998074, 7.014442329518049, 6.516943607596862, 6.847401574477923, 7.237810735368921, 6.943427772228187, 5.966447820170438, 5.081398668292394]","[135299.4069463321, 146856.9188645819, 175811.9498439369, 169464.2012288317, 172387.0257635083, 161129.306326718, 151878.5810932746, 160114.8706668035, 168463.2120972935, 172409.763038821, 148666.3576078624, 136343.7914378014]",1812810.572476438,0.0,0.0,0.0,0.0
36.213850532004,-120.1141900100078,,CA,,,,,,,,0.0,1.0,115.0,6.044685691809504,"[94507.59424552157, 112131.1286232461, 149444.2105242833, 152387.5571166762, 159997.2691303545, 153864.007963898, 153996.1767659762, 158738.5287676373, 153707.5203202575, 153275.8270633571, 118303.8076364432, 98152.9638127637]","[117.3651812191482, 142.7198375953145, 194.8391354102186, 201.5502045055994, 211.2871765919055, 211.324357292703, 216.269855772106, 224.3713933608053, 212.0827696641688, 203.7304049067079, 149.552218622985, 122.4221462376979]","[3.785973587714456, 5.097137056975517, 6.285133400329632, 6.718340150186646, 6.815715373932435, 7.044145243090099, 6.976446960390517, 7.237786882606624, 7.069425655472293, 6.571948545377673, 4.985073954099501, 3.949101491538641]","[99235.2210952165, 117458.755650883, 156432.9558467317, 159540.0747900301, 167645.379092773, 161242.154872457, 161435.4343516221, 166262.3181920131, 160832.9524649579, 160341.7050491338, 123873.8020187886, 103005.8604361995]",1658506.591970413,0.0,0.0,0.0,0.0
