,Longitude,Latitude,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
0,-117.3960478247602,34.08245206059089,1.0,103799.0,4.9767,4.9767,Rialto,"(34.1175, -117.3892)",[4.9767],[103799],['Rialto'],"[(34.1175, -117.3892)]",
1,-117.13717714045092,33.71092388667484,1.0,101089.0,8.2905,8.2905,Menifee,"(33.6909, -117.1849)",[8.2905],[101089],['Menifee'],"[(33.6909, -117.1849)]",
2,-122.35773594068836,39.94868638558109,1.0,121498.0,83.4367,83.4367,Redding,"(40.5698, -122.365)",[83.4367],[121498],['Redding'],"[(40.5698, -122.365)]",
3,-121.6458415588378,37.93461260066779,1.0,322796.0,17.8811,17.8811,Antioch,"(37.9787, -121.796)",[17.8811],[322796],['Antioch'],"[(37.9787, -121.796)]",
4,-121.99100247125018,37.973720829501055,1.0,640270.0,1.1830999999999998,1.1830999999999998,Concord,"(37.9722, -122.0016)",[1.1830999999999998],[640270],['Concord'],"[(37.9722, -122.0016)]",
5,-114.95834888084768,35.19703658233903,1.0,361831.0,347.0787,347.0787,Indio,"(33.7346, -116.2346)",[347.0787],[361831],['Indio'],"[(33.7346, -116.2346)]",
6,-117.05088691234782,33.73047800109148,1.0,191170.0,5.7391000000000005,5.7391000000000005,Hemet,"(33.7341, -116.9969)",[5.7391000000000005],[191170],['Hemet'],"[(33.7341, -116.9969)]",
7,-121.6458415588378,39.24473826658227,1.0,129536.0,12.8137,12.8137,Yuba City,"(39.1357, -121.6383)",[12.8137],[129536],['Yuba City'],"[(39.1357, -121.6383)]",
8,-115.41137257838896,32.79188050909305,1.0,110434.0,16.0557,16.0557,El Centro,"(32.7865, -115.5595)",[16.0557],[110434],['El Centro'],"[(32.7865, -115.5595)]",
9,-116.4684278726519,34.825508408422984,1.0,389060.0,111.3899,111.3899,Victorville,"(34.5277, -117.3536)",[111.3899],[389060],['Victorville'],"[(34.5277, -117.3536)]",
10,-121.6458415588378,38.63856071966661,1.0,1924167.0,42.098099999999995,42.098099999999995,Sacramento,"(38.5677, -121.4685)",[42.098099999999995],[1924167],['Sacramento'],"[(38.5677, -121.4685)]",
11,-121.88313968612132,39.24473826658227,1.0,129536.0,33.685199999999995,33.685199999999995,Yuba City,"(39.1357, -121.6383)",[33.685199999999995],[129536],['Yuba City'],"[(39.1357, -121.6383)]",
12,-120.6319313786264,35.68588944275488,1.0,142230.0,113.7575,113.7575,Santa Maria,"(34.9333, -120.4431)",[113.7575],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
13,-122.63817918202342,38.403911346667,1.0,314196.0,8.597700000000001,8.597700000000001,Santa Rosa,"(38.4458, -122.7067)",[8.597700000000001],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
14,-115.41137257838896,34.4344261200903,1.0,361831.0,226.9011,226.9011,Indio,"(33.7346, -116.2346)",[226.9011],[361831],['Indio'],"[(33.7346, -116.2346)]",
15,-116.74887111398698,34.84506252283962,1.0,389060.0,81.66839999999999,81.66839999999999,Victorville,"(34.5277, -117.3536)",[81.66839999999999],[389060],['Victorville'],"[(34.5277, -117.3536)]",
16,-116.10169440321374,33.20251691184236,1.0,361831.0,116.7178,116.7178,Indio,"(33.7346, -116.2346)",[116.7178],[361831],['Indio'],"[(33.7346, -116.2346)]",
17,-116.0369767321364,34.3171014335905,1.0,361831.0,132.745,132.745,Indio,"(33.7346, -116.2346)",[132.745],[361831],['Indio'],"[(33.7346, -116.2346)]",
18,-121.17124530427076,38.57989837641671,2.0,183430.0,24.6569,27.3326,Citrus Heights,"(38.6948, -121.288)","[24.6569, 27.3326]","[87521, 95909]","['Citrus Heights', 'Arden-Arcade']","[(38.6948, -121.288), (38.6017, -121.3845)]",
19,-121.53797877370891,37.71951734208481,2.0,186425.0,11.2635,23.6929,Tracy,"(37.7269, -121.4523)","[11.2635, 23.6929]","[98022, 88403]","['Tracy', 'Livermore']","[(37.7269, -121.4523), (37.6868, -121.7607)]",
20,-115.92911394700754,33.24162514067563,1.0,361831.0,66.3853,66.3853,Indio,"(33.7346, -116.2346)",[66.3853],[361831],['Indio'],"[(33.7346, -116.2346)]",
21,-115.00149399489923,34.453980234506936,1.0,361831.0,178.804,178.804,Indio,"(33.7346, -116.2346)",[178.804],[361831],['Indio'],"[(33.7346, -116.2346)]",
22,-115.6270981486467,34.4344261200903,1.0,361831.0,169.46,169.46,Indio,"(33.7346, -116.2346)",[169.46],[361831],['Indio'],"[(33.7346, -116.2346)]",
23,-116.61943577183231,35.177482467922395,1.0,389060.0,119.2297,119.2297,Victorville,"(34.5277, -117.3536)",[119.2297],[389060],['Victorville'],"[(34.5277, -117.3536)]",
24,-121.3869708745285,38.14970785925076,1.0,406822.0,24.490099999999998,24.490099999999998,Stockton,"(37.9765, -121.3109)",[24.490099999999998],[406822],['Stockton'],"[(37.9765, -121.3109)]",
25,-121.75370434396667,39.42072529633197,1.0,112132.0,49.8286,49.8286,Chico,"(39.7578, -121.8161)",[49.8286],[112132],['Chico'],"[(39.7578, -121.8161)]",
26,-114.72105075356416,34.49308846334021,1.0,361831.0,239.29870000000003,239.29870000000003,Indio,"(33.7346, -116.2346)",[239.29870000000003],[361831],['Indio'],"[(33.7346, -116.2346)]",
27,-114.82891353869304,34.981941323756054,1.0,361831.0,298.5465,298.5465,Indio,"(33.7346, -116.2346)",[298.5465],[361831],['Indio'],"[(33.7346, -116.2346)]",
28,-114.95834888084768,33.47627451367524,1.0,110434.0,198.69670000000002,198.69670000000002,El Centro,"(32.7865, -115.5595)",[198.69670000000002],[110434],['El Centro'],"[(32.7865, -115.5595)]",
29,-116.0369767321364,32.73321816584314,1.0,110434.0,68.4551,68.4551,El Centro,"(32.7865, -115.5595)",[68.4551],[110434],['El Centro'],"[(32.7865, -115.5595)]",
30,-121.62426900181202,39.24473826658227,1.0,129536.0,20.225,20.225,Yuba City,"(39.1357, -121.6383)",[20.225],[129536],['Yuba City'],"[(39.1357, -121.6383)]",
31,-121.92628480017288,39.10785946566583,1.0,129536.0,32.765,32.765,Yuba City,"(39.1357, -121.6383)",[32.765],[129536],['Yuba City'],"[(39.1357, -121.6383)]",
32,-115.73496093377555,35.021049552589325,1.0,361831.0,260.2645,260.2645,Indio,"(33.7346, -116.2346)",[260.2645],[361831],['Indio'],"[(33.7346, -116.2346)]",
33,-116.36056508752304,34.66907549308991,1.0,361831.0,302.87359999999995,302.87359999999995,Indio,"(33.7346, -116.2346)",[302.87359999999995],[361831],['Indio'],"[(33.7346, -116.2346)]",
34,-115.86439627593022,34.53219669217347,1.0,361831.0,205.2572,205.2572,Indio,"(33.7346, -116.2346)",[205.2572],[361831],['Indio'],"[(33.7346, -116.2346)]",
35,-117.3960478247602,33.67181565784158,1.0,101089.0,25.2313,25.2313,Menifee,"(33.6909, -117.1849)",[25.2313],[101089],['Menifee'],"[(33.6909, -117.1849)]",
36,-120.04947233893049,36.25295876083727,2.0,178231.0,37.8876,87.1099,Hanford,"(36.3274, -119.6549)","[37.8876, 87.1099]","[95459, 82772]","['Hanford', 'Madera']","[(36.3274, -119.6549), (36.963, -120.0778)]",
37,-120.9770922910388,38.012829058334326,1.0,406822.0,44.116099999999996,44.116099999999996,Stockton,"(37.9765, -121.3109)",[44.116099999999996],[406822],['Stockton'],"[(37.9765, -121.3109)]",
38,-120.04947233893049,34.62996726425664,1.0,198240.0,46.392900000000004,46.392900000000004,Santa Barbara,"(34.4285, -119.7202)",[46.392900000000004],[198240],['Santa Barbara'],"[(34.4285, -119.7202)]",
39,-122.1635829274564,39.69448289816485,1.0,112132.0,37.2843,37.2843,Chico,"(39.7578, -121.8161)",[37.2843],[112132],['Chico'],"[(39.7578, -121.8161)]",
40,-121.23596297534807,38.03238317275096,1.0,406822.0,11.7449,11.7449,Stockton,"(37.9765, -121.3109)",[11.7449],[406822],['Stockton'],"[(37.9765, -121.3109)]",
41,-114.59161541140952,34.39531789125704,1.0,361831.0,216.0429,216.0429,Indio,"(33.7346, -116.2346)",[216.0429],[361831],['Indio'],"[(33.7346, -116.2346)]",
