,Longitude,Latitude,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
0,-121.75370434396667,38.09104551600086,1.0,322796.0,42.0496,42.0496,Antioch,"(37.9787, -121.796)",[42.0496],[322796],['Antioch'],"[(37.9787, -121.796)]",
1,-121.32225320345118,38.38435723225037,1.0,175510.0,8.4315,8.4315,Elk Grove,"(38.4161, -121.3842)",[8.4315],[175510],['Elk Grove'],"[(38.4161, -121.3842)]",
2,-124.06196794572456,40.22244398741397,1.0,121498.0,355.8478,355.8478,Redding,"(40.5698, -122.365)",[355.8478],[121498],['Redding'],"[(40.5698, -122.365)]",
3,-115.90754138998176,34.766846065173084,1.0,361831.0,335.9567,335.9567,Indio,"(33.7346, -116.2346)",[335.9567],[361831],['Indio'],"[(33.7346, -116.2346)]",
4,-120.1141900100078,35.56856475625507,1.0,142230.0,162.431,162.431,Santa Maria,"(34.9333, -120.4431)",[162.431],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
5,-115.3682274643374,33.00697576767602,1.0,110434.0,42.832,42.832,El Centro,"(32.7865, -115.5595)",[42.832],[110434],['El Centro'],"[(32.7865, -115.5595)]",
6,-117.46076549583752,34.57130492100674,1.0,389060.0,14.241,14.241,Victorville,"(34.5277, -117.3536)",[14.241],[389060],['Victorville'],"[(34.5277, -117.3536)]",
7,-116.44685531562612,33.065638110925924,1.0,151443.0,86.8743,86.8743,Escondido,"(33.1348, -117.0723)",[86.8743],[151443],['Escondido'],"[(33.1348, -117.0723)]",
8,-121.25753553237384,38.65811483408325,2.0,233208.0,7.4281999999999995,17.6561,Citrus Heights,"(38.6948, -121.288)","[7.4281999999999995, 17.6561]","[87521, 145687]","['Citrus Heights', 'Roseville']","[(38.6948, -121.288), (38.7703, -121.3196)]",
9,-117.89221663635304,33.90646503084118,1.0,142964.0,5.6966,5.6966,Fullerton,"(33.8841, -117.9279)",[5.6966],[142964],['Fullerton'],"[(33.8841, -117.9279)]",
10,-115.691815819724,33.55449097134177,1.0,361831.0,91.74310000000001,91.74310000000001,Indio,"(33.7346, -116.2346)",[91.74310000000001],[361831],['Indio'],"[(33.7346, -116.2346)]",
11,-115.56238047756938,34.47353434892357,1.0,361831.0,221.824,221.824,Indio,"(33.7346, -116.2346)",[221.824],[361831],['Indio'],"[(33.7346, -116.2346)]",
12,-114.74262331058992,32.77232639467641,1.0,110434.0,82.9284,82.9284,El Centro,"(32.7865, -115.5595)",[82.9284],[110434],['El Centro'],"[(32.7865, -115.5595)]",
13,-115.77810604782712,33.065638110925924,1.0,110434.0,50.1054,50.1054,El Centro,"(32.7865, -115.5595)",[50.1054],[110434],['El Centro'],"[(32.7865, -115.5595)]",
14,-117.5686282809664,34.08245206059089,1.0,173946.0,7.0882,7.0882,Rancho Cucamonga,"(34.1247, -117.5667)",[7.0882],[173946],['Rancho Cucamonga'],"[(34.1247, -117.5667)]",
15,-119.96318211082738,35.06015778142259,1.0,142230.0,62.7656,62.7656,Santa Maria,"(34.9333, -120.4431)",[62.7656],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
16,-118.15108732066231,34.923278980506154,1.0,381732.0,28.6516,28.6516,Lancaster,"(34.6935, -118.1753)",[28.6516],[381732],['Lancaster'],"[(34.6935, -118.1753)]",
17,-120.26519790918825,35.37302361208874,1.0,142230.0,119.766,119.766,Santa Maria,"(34.9333, -120.4431)",[119.766],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
18,-115.79967860485289,34.88417075167288,1.0,361831.0,253.53289999999998,253.53289999999998,Indio,"(33.7346, -116.2346)",[253.53289999999998],[361831],['Indio'],"[(33.7346, -116.2346)]",
19,-122.03414758530174,37.954166715084426,1.0,640270.0,6.5833,6.5833,Concord,"(37.9722, -122.0016)",[6.5833],[640270],['Concord'],"[(37.9722, -122.0016)]",
