,Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh),Latitude,Longitude
0,"Ahana Renewables, LLC",CA,,25,10720,2483,23.162313,,
1,Alameda Municipal Power,CA,Municipal,36377,334047,63740.4,19.081267,37.7763442971153,-122.252400599758
2,Bear Valley Electric Service,CA,Investor Owned,24678,142433,39917.7,28.025598,34.2458905428511,-116.885739770743
3,City & County of San Francisco,CA,Municipal,1992,927238,154048,16.613642,37.7790262,-122.419906
4,City of Anaheim - (CA),CA,Municipal,122391,2221927,347824,15.65416,33.8347516,-117.911732
5,City of Azusa,CA,Municipal,16967,237344,38571,16.251095,34.1338751,-117.9056046
6,City of Burbank Water and Power,CA,Municipal,53252,978966,154304,15.761937,34.1816482,-118.3258554
7,City of Colton - (CA),CA,Municipal,20330,353743,58223,16.459124,34.0739016,-117.3136547
8,City of Corona - (CA),CA,Municipal,1840,82794,11268.2,13.609923,33.8752945,-117.5664449
9,City of Glendale - (CA),CA,Municipal,90283,1027035,214332.2,20.869026,34.1469416,-118.2478471
10,City of Lodi - (CA),CA,Municipal,25418,454501,87529,19.258263,38.12469425,-121.279534588306
11,City of Moreno Valley - (CA),CA,Municipal,7754,214684,49005.8,22.826946,33.937517,-117.2305944
12,City of Palo Alto - (CA),CA,Municipal,29644,827470,142120,17.175245,37.4443293,-122.1598465
13,City of Pasadena - (CA),CA,Municipal,66452,1044139,202219,19.367057,34.1476452,-118.1444779
14,City of Redding - (CA),CA,Municipal,44544,746733,124857,16.720434,40.5863563,-122.391675
15,City of Riverside - (CA),CA,Municipal,112235,2206110,353718,16.033561,33.9533546,-117.3961623
16,City of Roseville - (CA),CA,Municipal,66941,1175043,171216.7,14.571101,38.7521235,-121.2880059
17,City of Santa Clara - (CA),CA,Municipal,59555,4414158,541913.1,12.276704,37.3541132,-121.955174
18,City of Vernon,CA,Municipal,1882,1150635,203737.4,17.706519,34.0025490598338,-118.229751430625
19,"Constellation Solar Holding, LLC",CA,,27,93728,15526.8,16.565807,,
20,Greenbacker Renewable Energy Corporation,CA,,20,10825,1037.8,9.587067,,
21,"Greenskies Renewable Energy, LLC",CA,,2,17009,1434,8.4308307,,
22,Imperial Irrigation District,CA,Political Subdivision,161630,3584371,561679,15.670225,32.8471629426805,-115.567004095509
23,Kings River Conservation Dist,CA,Political Subdivision,1,109144,850.4,0.7791541,36.7068473025617,-119.732764231077
24,Liberty Utilities,CA,Investor Owned,49989,561727,84143.3,14.979394,,
25,Longroad Energy,CA,,156,40483,6743.7,16.658103,,
26,Los Angeles Department of Water & Power,CA,Municipal,1488920,21855334,4592264.4,21.012099,34.0536909,-118.242766
27,Merced Irrigation District,CA,Political Subdivision,12498,535678,80660.5,15.057647,37.3029568,-120.4843269
28,Modesto Irrigation District,CA,Political Subdivision,132213,2637109,380190,14.416924,37.6390972,-120.9968782
29,PacifiCorp,CA,Investor Owned,45810,799528,111269.3,13.916873,,
30,Pacific Gas & Electric Co.,CA,Investor Owned,2119635,31146948,8834188,28.362933,,
31,Sacramento Municipal Util Dist,CA,Political Subdivision,647097,10622383,1629147.1,15.336927,38.5810606,-121.493895
32,San Diego Gas & Electric Co,CA,Investor Owned,914422,7800012,2536749.4,32.522378,32.7174202,-117.1627728
33,"Scale Sustainable I, LLC",CA,,2,341,62,18.181818,,
34,Southern California Edison Co,CA,Investor Owned,3819283,54830463,11911236,21.723756,,
35,Spruce Finance,CA,,17808,153412,31973.7,20.84172,,
36,"SunPower Capital, LLC",CA,,57738,409886,92018.4,22.449754,,
37,Sunnova,CA,,53804,427106,61055.7,14.29521,,
38,Sunrun Inc.,CA,,262881,1992670,423762.1,21.266045,,
39,Surprise Valley Electrification,CA,Cooperative,4757,119065,10935.6,9.1845631,,
40,"TerraForm US Energy Services, LLC",CA,,81,36333,5944,16.359783,,
41,Tesla Inc.,CA,,153732,1418288,242917,17.12748,,
42,Turlock Irrigation District,CA,Political Subdivision,94399,2252542,313567,13.920584,37.4946568,-120.8465941
43,"Valley Electric Assn, Inc",CA,Cooperative,44,11637,1152.9,9.9071926,,
44,WAPA-- Western Area Power Administration,CA,Federal,95,2428771,115574.8,4.7585713,,
