Latitude,Longitude,Solar_farm_present,land_cover,slope,elevation,feature_violated,solrad_annual,ac_monthly,poa_monthly,solrad_monthly,dc_monthly,ac_annual,min_distance
36.17760086,-120.1090012,1,1.0,0.0,119.0,,5.98868596541929,"[94729.03706566579, 112899.4317807716, 148815.5134547021, 151692.8301412142, 158585.1249622398, 153663.1755482648, 153696.4969803279, 158879.4220899201, 153200.8669112451, 148959.3970401417, 119702.9779568175, 88658.77860250595]","[117.2264253417953, 143.5962623979706, 193.9698021505013, 200.7388458882439, 209.5412151663564, 211.111256766907, 215.7629563153293, 224.7284395516195, 211.2858135695002, 197.0532049882377, 151.3657988028896, 110.2091205340198]","[3.781497591670815, 5.128437942784665, 6.257090391951654, 6.691294862941463, 6.759394037624399, 7.037041892230232, 6.960095365010623, 7.249304501665145, 7.042860452316675, 6.356554999620569, 5.045526626762987, 3.555132920452253]","[99456.86078053594, 118253.1308946665, 155783.651707444, 158822.7080755324, 166187.5901125549, 161033.9447441475, 161122.9158101974, 166409.5002350522, 160302.9672665964, 155826.6819847269, 125326.6879644077, 93158.72031796975]",1643483.052533817,51.2865
33.26520157,-116.3280029,1,1.0,1.0,164.0,,6.663121601828764,"[145947.9535344609, 142834.661946108, 172511.5138399214, 163000.0256285009, 156151.216114553, 147527.6141662378, 142653.4082922236, 153265.1968500174, 157694.6212585688, 164147.2892665743, 138396.0318822067, 134221.575914744]","[184.4958804592433, 182.799235309969, 226.3683056472703, 217.3997601170539, 213.2770534832953, 204.7996481632092, 200.95161553496, 215.3908803551838, 216.9675651770501, 220.6027410912286, 180.6734440424369, 168.041460228102]","[5.9514800148143, 6.528544118213177, 7.30220340797646, 7.246658670568464, 6.879904951074043, 6.826654938773641, 6.482310178547097, 6.948092914683347, 7.232252172568336, 7.11621745455576, 6.022448134747896, 5.420692265422645]","[152913.6057181737, 149334.5490715083, 180501.9812852423, 170539.0739239383, 163594.9478189641, 154672.9894243775, 149666.7435403713, 160568.7231657261, 165012.7643986659, 171577.914947936, 144738.9649216091, 140354.3572854431]",1818351.108694119,101.7398
34.82300186,-118.3479996,1,1.0,0.0,768.0,,6.696369798100839,"[141910.6800494553, 137028.811976832, 173116.9926520064, 161826.6945266406, 164810.3626104217, 154359.892487258, 157615.2800694352, 170745.9508588778, 166948.4425157035, 167241.8962461452, 145243.2083573865, 138011.0312377464]","[174.5395287168338, 171.1071960003887, 218.3916044777823, 211.1570392540065, 218.9181799688494, 210.1741127317128, 216.1038281058877, 234.229244614893, 223.9207765241363, 215.5734098162453, 182.2714387387698, 168.7461798452012]","[5.630307377962379, 6.110971285728167, 7.044890467025236, 7.038567975133549, 7.061876773188689, 7.005803757723759, 6.971091229222186, 7.555782084351388, 7.464025884137876, 6.953980961814363, 6.07571462462566, 5.443425156296814]","[148793.0135197195, 144002.1003871498, 181749.0764044511, 169575.9105166048, 172640.4600414076, 161756.2560443722, 165188.7607929727, 178711.3137895906, 174622.7798125281, 174971.1859247353, 151868.9287757136, 144462.9621791832]",1878859.243587907,32.395900000000005
34.70740128,-118.3050003,1,1.0,0.0,748.0,,6.660705562330938,"[128241.1482835144, 137774.940553894, 173170.4681451508, 161515.254825089, 165177.4031696389, 154215.1393792702, 154877.534012784, 162283.358402346, 165244.0492655504, 169018.4069647105, 149762.1399666257, 130624.4372990302]","[160.4580289181927, 171.7472105871453, 223.2649775898183, 211.2581206290448, 219.2204969227899, 211.1312465057953, 214.9029217717729, 224.5979300335844, 224.1897019869621, 221.5750515675327, 188.2819936563273, 160.9246000769163]","[5.176065448973959, 6.133828949540904, 7.202096051284462, 7.041937354301493, 7.071628932993222, 7.037708216859842, 6.93235231521848, 7.2450945172124, 7.472990066232072, 7.147582308630086, 6.276066455210909, 5.191116131513429]","[134241.0719142978, 144436.8702194193, 181533.24283249, 169127.543403517, 173020.3111114384, 161606.1853344607, 162350.4418097662, 169936.7240979116, 172785.4812446866, 176659.3346282655, 156567.004373902, 136747.2185572513]",1851904.280267601,13.7756
34.70859909,-118.2740021,1,1.0,0.0,731.0,,6.708849497799135,"[142734.0003740294, 138850.805634565, 173172.2601726356, 162031.1699674942, 164724.6410862841, 153694.6616186036, 155762.7790156264, 161250.8602019764, 163722.9267997686, 167354.4447843791, 145272.0429880854, 139539.4502539629]","[176.3520191843734, 174.3075934660958, 223.4224170016223, 212.1389597411178, 218.6854552645814, 209.9765964232697, 216.3765854852374, 223.3474091107649, 221.2371279108622, 219.6597283858961, 183.3090025698363, 170.6479154971314]","[5.688774812399141, 6.225271195217706, 7.207174741987815, 7.07129865803726, 7.054369524663916, 6.999219880775658, 6.979889854362498, 7.204755132605319, 7.374570930362074, 7.085797689867616, 6.110300085661211, 5.504771467649401]","[149444.0213297507, 145674.4399659933, 181504.2038486493, 169656.8668293748, 172547.0893262432, 161066.5874762707, 163268.2068779518, 168870.3695846075, 171244.4345359841, 174928.8734351773, 152028.6122250956, 146081.0695761291]",1868110.04289741,10.6077
36.17580032,-120.1159973,1,1.0,0.0,121.0,,5.98868596541929,"[94729.03706566579, 112899.4317807716, 148815.5134547021, 151692.8301412142, 158585.1249622398, 153663.1755482648, 153696.4969803279, 158879.4220899201, 153200.8669112451, 148959.3970401417, 119702.9779568175, 88658.77860250595]","[117.2264253417953, 143.5962623979706, 193.9698021505013, 200.7388458882439, 209.5412151663564, 211.111256766907, 215.7629563153293, 224.7284395516195, 211.2858135695002, 197.0532049882377, 151.3657988028896, 110.2091205340198]","[3.781497591670815, 5.128437942784665, 6.257090391951654, 6.691294862941463, 6.759394037624399, 7.037041892230232, 6.960095365010623, 7.249304501665145, 7.042860452316675, 6.356554999620569, 5.045526626762987, 3.555132920452253]","[99456.86078053594, 118253.1308946665, 155783.651707444, 158822.7080755324, 166187.5901125549, 161033.9447441475, 161122.9158101974, 166409.5002350522, 160302.9672665964, 155826.6819847269, 125326.6879644077, 93158.72031796975]",1643483.052533817,52.9905
34.9034996,-118.2429962,1,1.0,1.0,788.0,,6.750347432954791,"[139032.1708306969, 142162.3309084182, 172711.8769952403, 165051.9936949011, 169397.848514684, 154591.4277521139, 158370.0664582845, 166435.2792827059, 169654.6779392185, 170724.6792312374, 148626.5168969839, 136276.6509969986]","[170.6710415048528, 177.0734951974484, 221.683534059813, 215.6047099412945, 223.0112663872034, 210.3540886227642, 217.1169970213426, 229.5350903324356, 227.20918237859, 219.5755234080312, 186.0027748102873, 166.3470226702946]","[5.505517467898478, 6.32405339990887, 7.151081743864937, 7.186823664709816, 7.193911818942047, 7.011802954092141, 7.003774097462665, 7.404357752659212, 7.573639412619667, 7.08308140025907, 6.200092493676242, 5.366032989364344]","[145819.0038837943, 149392.0360013158, 181258.2322895252, 172838.1406838534, 177395.9514117699, 161996.2969115397, 165968.2016928176, 174244.9107625754, 177436.813991304, 178635.7433014916, 155401.8908933497, 142619.5862711033]",1893035.519501481,32.1431
36.94100189,-120.0459976,1,1.0,0.0,80.0,,5.980151571736187,"[89683.6360329436, 109483.68956505, 152026.4489195464, 148678.3246814838, 155139.127691771, 150765.1385447964, 158658.7172974314, 163445.3175219345, 160659.1740037506, 149346.6614179557, 120944.0854855376, 92182.5650749299]","[111.6605444095973, 138.6125247309468, 194.416782419689, 194.8059403816844, 207.2892304396661, 207.7620939216219, 219.5760269903301, 226.4274114367598, 218.8005957524425, 196.9019402206515, 153.7978792912082, 113.8751891109072]","[3.601953045470881, 4.950447311819529, 6.271509110312547, 6.493531346056145, 6.686749369021489, 6.92540313072073, 7.083097644849357, 7.304110046347091, 7.293353191748083, 6.351675490988759, 5.126595976373606, 3.67339319712604]","[94233.70788587797, 114696.8021618507, 159276.2471808472, 155781.0317031903, 162618.2789723926, 158029.446419332, 166270.529383164, 171141.8383537684, 168035.3540746834, 156271.2473892308, 126613.3957826734, 96828.80461078692]",1651012.886237129,5.504899999999999
32.96709824,-115.5329971,1,1.0,0.0,-33.0,,6.581999776097898,"[139586.50374647, 143612.3966346673, 162281.5846098012, 161419.1694886678, 157810.6738466717, 141330.362000109, 142340.3079313225, 147244.0798364998, 150279.928784704, 164806.3378707653, 140932.242669224, 132184.5504868323]","[177.1638508465097, 183.8824276410507, 213.7032807582819, 214.9451246244633, 216.8141238114517, 200.3117475129243, 203.4191703980888, 211.5740984519429, 211.0024650622099, 222.0647555738395, 181.3621824437408, 165.6382835866426]","[5.714962930532573, 6.567229558608953, 6.893654218009092, 7.164837487482109, 6.994003993917798, 6.677058250430812, 6.561908722518995, 6.824970917804611, 7.033415502073662, 7.163379212059339, 6.045406081458026, 5.343170438278793]","[145985.6528162888, 150101.0354667753, 169822.8535460228, 168917.2351764211, 165297.0429474888, 148248.0770684243, 149343.0207170404, 154318.8941654149, 157259.980784964, 172261.8343966732, 147368.6742199068, 138222.02536214]",1783828.137905736,24.4568
35.80120087,-119.1110001,1,1.0,0.0,154.0,,5.916333194744403,"[82269.45838578003, 105320.8358391362, 143426.9628558882, 149775.9551649179, 155991.4401342575, 152044.6941133231, 153109.278537639, 162346.0277701801, 158524.1281554064, 151291.8472312961, 116813.1677758499, 94357.36124864587]","[104.0320426729096, 132.9947909039374, 184.88188487812, 195.0672746731355, 209.30809617196, 208.8074507451576, 213.1618775426834, 227.0416220643006, 217.2392774509572, 199.7714497188135, 150.1976596327216, 118.4126913575908]","[3.355872344287405, 4.749813960854908, 5.963931770261937, 6.502242489104518, 6.751874070063225, 6.960248358171919, 6.876189598151076, 7.323923292396792, 7.241309248365241, 6.444240313510113, 5.006588654424054, 3.819764237341639]","[86546.51941469949, 110376.6208468306, 150200.3261610336, 156823.7907464387, 163501.5511345276, 159356.0073147053, 160515.2798419366, 169997.8268360342, 165820.9602250709, 158241.6938851087, 122334.3232045248, 99068.94092905534]",1625271.157212321,62.2311
