,Longitude,Latitude,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
0,-121.32225320345118,38.63856071966661,2.0,183430.0,9.1889,10.4496,Citrus Heights,"(38.6948, -121.288)","[9.1889, 10.4496]","[87521, 95909]","['Citrus Heights', 'Arden-Arcade']","[(38.6948, -121.288), (38.6017, -121.3845)]",
1,-121.4732611026316,39.1469676944991,1.0,129536.0,18.0916,18.0916,Yuba City,"(39.1357, -121.6383)",[18.0916],[129536],['Yuba City'],"[(39.1357, -121.6383)]",
2,-115.73496093377555,33.632707429008306,1.0,361831.0,51.7247,51.7247,Indio,"(33.7346, -116.2346)",[51.7247],[361831],['Indio'],"[(33.7346, -116.2346)]",
3,-115.58395303459514,32.85054285234295,1.0,110434.0,9.6227,9.6227,El Centro,"(32.7865, -115.5595)",[9.6227],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4,-118.2373775487654,33.88691091642455,2.0,191187.0,1.6499000000000001,7.7363,Compton,"(33.893, -118.2274)","[1.6499000000000001, 7.7363]","[96083, 95104]","['Compton', 'Carson']","[(33.893, -118.2274), (33.8374, -118.2559)]",
5,-119.16499750087372,36.272512875253895,1.0,249804.0,23.2703,23.2703,Visalia,"(36.3276, -119.3269)",[23.2703],[249804],['Visalia'],"[(36.3276, -119.3269)]",
6,-115.38980002136316,35.412131840922,1.0,361831.0,405.56170000000003,405.56170000000003,Indio,"(33.7346, -116.2346)",[405.56170000000003],[361831],['Indio'],"[(33.7346, -116.2346)]",
7,-119.05713471574484,35.82276824367132,1.0,590845.0,57.058099999999996,57.058099999999996,Bakersfield,"(35.3529, -119.0359)",[57.058099999999996],[590845],['Bakersfield'],"[(35.3529, -119.0359)]",
8,-115.691815819724,32.98742165325939,1.0,110434.0,32.8799,32.8799,El Centro,"(32.7865, -115.5595)",[32.8799],[110434],['El Centro'],"[(32.7865, -115.5595)]",
9,-120.26519790918825,36.272512875253895,2.0,178231.0,59.0625,86.7328,Hanford,"(36.3274, -119.6549)","[59.0625, 86.7328]","[95459, 82772]","['Hanford', 'Madera']","[(36.3274, -119.6549), (36.963, -120.0778)]",
10,-118.12951476363654,33.84780268759128,2.0,548984.0,0.9465,9.2407,Lakewood,"(33.8471, -118.1222)","[0.9465, 9.2407]","[82419, 466565]","['Lakewood', 'Long Beach']","[(33.8471, -118.1222), (33.7977, -118.167)]",
11,-114.6994781965384,34.4344261200903,1.0,361831.0,220.1321,220.1321,Indio,"(33.7346, -116.2346)",[220.1321],[361831],['Indio'],"[(33.7346, -116.2346)]",
12,-114.95834888084768,33.51538274250851,1.0,110434.0,190.5514,190.5514,El Centro,"(32.7865, -115.5595)",[190.5514],[110434],['El Centro'],"[(32.7865, -115.5595)]",
13,-120.17890768108512,36.937352765419455,2.0,802330.0,12.6835,46.8804,Madera,"(36.963, -120.0778)","[12.6835, 46.8804]","[82772, 719558]","['Madera', 'Fresno']","[(36.963, -120.0778), (36.783, -119.7939)]",
14,-116.6410083288581,33.90646503084118,1.0,191170.0,56.3931,56.3931,Hemet,"(33.7341, -116.9969)",[56.3931],[191170],['Hemet'],"[(33.7341, -116.9969)]",
15,-117.84907152230149,34.02378971734099,1.0,109396.0,10.592799999999999,10.592799999999999,West Covina,"(34.0555, -117.9113)",[10.592799999999999],[109396],['West Covina'],"[(34.0555, -117.9113)]",
16,-118.62568357522936,34.18022263267406,1.0,127158.0,28.884,28.884,Simi Valley,"(34.2663, -118.749)",[28.884],[127158],['Simi Valley'],"[(34.2663, -118.749)]",
17,-119.12185238682216,35.19703658233903,1.0,590845.0,31.5672,31.5672,Bakersfield,"(35.3529, -119.0359)",[31.5672],[590845],['Bakersfield'],"[(35.3529, -119.0359)]",
18,-116.23112974536838,33.73047800109148,1.0,361831.0,0.6645,0.6645,Indio,"(33.7346, -116.2346)",[0.6645],[361831],['Indio'],"[(33.7346, -116.2346)]",
19,-118.2373775487654,34.981941323756054,1.0,381732.0,43.9074,43.9074,Lancaster,"(34.6935, -118.1753)",[43.9074],[381732],['Lancaster'],"[(34.6935, -118.1753)]",
20,-121.43011598858006,37.758625570918085,2.0,197786.0,5.7326999999999995,21.5446,Tracy,"(37.7269, -121.4523)","[5.7326999999999995, 21.5446]","[98022, 99764]","['Tracy', 'Manteca']","[(37.7269, -121.4523), (37.7927, -121.2264)]",
21,-119.07870727277064,36.09652584550419,1.0,249804.0,46.9093,46.9093,Visalia,"(36.3276, -119.3269)",[46.9093],[249804],['Visalia'],"[(36.3276, -119.3269)]",
22,-122.2283005985337,39.63582055491495,1.0,112132.0,53.0848,53.0848,Chico,"(39.7578, -121.8161)",[53.0848],[112132],['Chico'],"[(39.7578, -121.8161)]",
23,-122.07729269935328,39.0883053512492,1.0,129536.0,55.8767,55.8767,Yuba City,"(39.1357, -121.6383)",[55.8767],[129536],['Yuba City'],"[(39.1357, -121.6383)]",
24,-117.37447526773444,34.78640017958971,1.0,389060.0,40.0102,40.0102,Victorville,"(34.5277, -117.3536)",[40.0102],[389060],['Victorville'],"[(34.5277, -117.3536)]",
25,-122.1635829274564,37.73907145650145,2.0,528724.0,5.0551,8.9225,San Leandro,"(37.7074, -122.1599)","[5.0551, 8.9225]","[91176, 437548]","['San Leandro', 'Oakland']","[(37.7074, -122.1599), (37.7904, -122.2166)]",
26,-115.1956470081312,34.23888497592396,1.0,361831.0,163.5412,163.5412,Indio,"(33.7346, -116.2346)",[163.5412],[361831],['Indio'],"[(33.7346, -116.2346)]",
27,-114.65633308248684,33.417612170425336,1.0,110434.0,136.4652,136.4652,El Centro,"(32.7865, -115.5595)",[136.4652],[110434],['El Centro'],"[(32.7865, -115.5595)]",
28,-119.51015841328612,36.60493282033668,1.0,118488.0,39.3853,39.3853,Clovis,"(36.8278, -119.683)",[39.3853],[118488],['Clovis'],"[(36.8278, -119.683)]",
29,-120.50249603647174,34.90372486608952,1.0,142230.0,11.0764,11.0764,Santa Maria,"(34.9333, -120.4431)",[11.0764],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
30,-120.6319313786264,35.04060366700595,1.0,142230.0,25.815,25.815,Santa Maria,"(34.9333, -120.4431)",[25.815],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
31,-121.23596297534807,38.59945249083334,2.0,183430.0,17.529,20.2047,Citrus Heights,"(38.6948, -121.288)","[17.529, 20.2047]","[87521, 95909]","['Citrus Heights', 'Arden-Arcade']","[(38.6948, -121.288), (38.6017, -121.3845)]",
32,-120.17890768108512,36.018309387837654,2.0,178231.0,68.1085,119.0692,Hanford,"(36.3274, -119.6549)","[68.1085, 119.0692]","[95459, 82772]","['Hanford', 'Madera']","[(36.3274, -119.6549), (36.963, -120.0778)]",
33,-120.71822160672949,37.52397619791847,1.0,103359.0,16.3504,16.3504,Turlock,"(37.5053, -120.8588)",[16.3504],[103359],['Turlock'],"[(37.5053, -120.8588)]",
34,-116.53314554372923,36.311621104087166,1.0,389060.0,356.4524,356.4524,Victorville,"(34.5277, -117.3536)",[356.4524],[389060],['Victorville'],"[(34.5277, -117.3536)]",
35,-121.75370434396667,38.50168191875017,1.0,1924167.0,31.4208,31.4208,Sacramento,"(38.5677, -121.4685)",[31.4208],[1924167],['Sacramento'],"[(38.5677, -121.4685)]",
36,-115.67024326269824,33.90646503084118,1.0,361831.0,111.7782,111.7782,Indio,"(33.7346, -116.2346)",[111.7782],[361831],['Indio'],"[(33.7346, -116.2346)]",
37,-119.12185238682216,35.21659069675566,1.0,590845.0,30.2516,30.2516,Bakersfield,"(35.3529, -119.0359)",[30.2516],[590845],['Bakersfield'],"[(35.3529, -119.0359)]",
38,-120.1141900100078,36.91779865100282,2.0,802330.0,9.0462,37.8471,Madera,"(36.963, -120.0778)","[9.0462, 37.8471]","[82772, 719558]","['Madera', 'Fresno']","[(36.963, -120.0778), (36.783, -119.7939)]",
39,-120.93394717698725,37.347989168168766,1.0,103359.0,25.4148,25.4148,Turlock,"(37.5053, -120.8588)",[25.4148],[103359],['Turlock'],"[(37.5053, -120.8588)]",
40,-119.22971517195104,35.19703658233903,1.0,590845.0,41.1481,41.1481,Bakersfield,"(35.3529, -119.0359)",[41.1481],[590845],['Bakersfield'],"[(35.3529, -119.0359)]",
41,-120.56721370754909,36.780919850086384,1.0,157617.0,72.0805,72.0805,Merced,"(37.3057, -120.4779)",[72.0805],[157617],['Merced'],"[(37.3057, -120.4779)]",
42,-119.96318211082738,36.311621104087166,2.0,815017.0,37.2637,79.7302,Hanford,"(36.3274, -119.6549)","[37.2637, 79.7302]","[95459, 719558]","['Hanford', 'Fresno']","[(36.3274, -119.6549), (36.783, -119.7939)]",
43,-121.7321317869409,37.17200213841906,1.0,1729879.0,23.883599999999998,23.883599999999998,San Jose,"(37.3012, -121.848)",[23.883599999999998],[1729879],['San Jose'],"[(37.3012, -121.848)]",
44,-118.38838544794584,34.258439090340595,1.0,107364.0,12.4395,12.4395,Burbank,"(34.1879, -118.3235)",[12.4395],[107364],['Burbank'],"[(34.1879, -118.3235)]",
45,-119.9416095538016,35.54901064183844,2.0,686304.0,110.394,118.3353,Bakersfield,"(35.3529, -119.0359)","[110.394, 118.3353]","[590845, 95459]","['Bakersfield', 'Hanford']","[(35.3529, -119.0359), (36.3274, -119.6549)]",
46,-119.20814261492526,35.62722709950498,1.0,590845.0,41.1217,41.1217,Bakersfield,"(35.3529, -119.0359)",[41.1217],[590845],['Bakersfield'],"[(35.3529, -119.0359)]",
47,-120.52406859349752,37.50442208350184,1.0,157617.0,28.9155,28.9155,Merced,"(37.3057, -120.4779)",[28.9155],[157617],['Merced'],"[(37.3057, -120.4779)]",
48,-120.35148813729133,36.780919850086384,2.0,802330.0,63.4221,64.95219999999999,Madera,"(36.963, -120.0778)","[63.4221, 64.95219999999999]","[82772, 719558]","['Madera', 'Fresno']","[(36.963, -120.0778), (36.783, -119.7939)]",
49,-120.17890768108512,36.311621104087166,2.0,178231.0,55.6042,78.64489999999999,Hanford,"(36.3274, -119.6549)","[55.6042, 78.64489999999999]","[95459, 82772]","['Hanford', 'Madera']","[(36.3274, -119.6549), (36.963, -120.0778)]",
50,-121.3006806464254,37.89550437183452,1.0,406822.0,12.036100000000001,12.036100000000001,Stockton,"(37.9765, -121.3109)",[12.036100000000001],[406822],['Stockton'],"[(37.9765, -121.3109)]",
51,-114.95834888084768,32.98742165325939,1.0,110434.0,82.0695,82.0695,El Centro,"(32.7865, -115.5595)",[82.0695],[110434],['El Centro'],"[(32.7865, -115.5595)]",
52,-119.98475466785315,36.40939167617034,2.0,815017.0,50.4955,58.809400000000004,Hanford,"(36.3274, -119.6549)","[50.4955, 58.809400000000004]","[95459, 719558]","['Hanford', 'Fresno']","[(36.3274, -119.6549), (36.783, -119.7939)]",
