ac_monthly,poa_monthly,solrad_monthly,dc_monthly,ac_annual,solrad_annual,capacity_factor,latitude,longitude
"[84883.06914835521, 110107.3007904001, 142457.8436935399, 144658.4500385358, 152796.401498712, 153681.8268917558, 162146.5623080946, 168245.0971041535, 151248.0391882681, 148246.6345175191, 100436.3542135037, 79724.00808689845]","[104.6620668695758, 137.671252552197, 181.5298021431209, 186.1547521614418, 204.0334754305094, 206.3649574875517, 220.8194781746934, 228.5666729260759, 204.0821135489735, 193.1878386792887, 127.1176208048406, 99.38694435376244]","[3.376195705470185, 4.916830448292751, 5.855800069132933, 6.205158405381393, 6.581725013887398, 6.878831916251724, 7.123208973377207, 7.373118481486319, 6.802737118299117, 6.231865763848023, 4.237254026828021, 3.206030463024595]","[89177.54404926489, 115410.2864073284, 149285.549356114, 151550.322088762, 160181.8868122525, 161051.3727296789, 169881.1669072892, 176126.4320724973, 158277.2216035289, 155106.5677685964, 105332.5553133196, 83827.23068249068]",1598631.587479734,5.732396365439972,18.2492190351568,38.63856071966661,-121.32225320345118
"[78866.77428118252, 106080.1644945415, 124079.4302614902, 143020.1234836942, 150695.7165455461, 149091.7244734914, 159436.830534302, 164370.5981397041, 150696.2020334054, 143944.5475475624, 95290.17239067175, 81781.36815667126]","[99.45905129543517, 133.9026315700545, 159.5808123139262, 186.4769488767599, 204.836682804724, 206.7117631335828, 222.9470118578991, 227.6470748915827, 206.1717720141676, 189.7018859081808, 122.7591431930688, 102.5926005463427]","[3.208356493401135, 4.782236841787659, 5.147768139158909, 6.215898295891997, 6.607634929184646, 6.890392104452759, 7.191839092190293, 7.343454028760734, 6.872392400472252, 6.119415674457445, 4.09197143976896, 3.309438727301377]","[82933.84836181221, 111212.6071361726, 130119.1225714673, 149849.6541629012, 158015.002489991, 156293.2341024168, 167073.1179618666, 172112.0339706372, 157700.942661461, 150604.3310062957, 100004.2309944495, 85948.53513021854]",1547353.652342264,5.64839984723568,17.663854478793,39.1469676944991,-121.4732611026316
"[142033.6075897373, 135669.0721331215, 169827.3292434413, 166697.6111150558, 162702.2019629756, 151478.3211446134, 142789.6903260337, 155988.5735041623, 154267.0332259571, 170165.8608680318, 145616.2211930054, 138155.1153275781]","[176.9045521906041, 169.7386789021357, 221.0427108258652, 219.5020152085593, 220.1229553150503, 208.7972303136648, 201.1631952903874, 217.273635884607, 211.3461870512307, 222.1924190048261, 187.1550801198084, 169.2517603006177]","[5.706598457761423, 6.062095675076274, 7.130410026640812, 7.316733840285309, 7.100740494033881, 6.95990767712216, 6.489135331947979, 7.008826964019581, 7.044872901707691, 7.167497387252455, 6.238502670660279, 5.459734203245731]","[148606.6602928677, 142527.3934126461, 177911.1490544788, 174393.9353986304, 170383.7866504666, 158768.8282574084, 149815.0752447037, 163386.1383720697, 161399.6345794528, 177939.8443846413, 152261.0368141099, 144464.0628529579]",1835390.63763371,6.640421302479464,20.95194791819311,33.632707429008306,-115.73496093377555
"[142250.309592729, 145540.4466112001, 169827.4712374571, 156729.0459971306, 155948.8417990014, 141012.5074338037, 141308.0226626285, 146686.9983316014, 149782.1466739319, 165551.9098569568, 141470.1645615355, 146631.1755526115]","[179.1055874454835, 186.1198841765338, 223.6886926114096, 211.7050255392676, 216.8047644127818, 199.9388294722176, 202.0857582193595, 211.0238820443333, 210.426087109795, 223.25454487852, 185.7742795954679, 183.2022904643095]","[5.777599595015598, 6.647138720590493, 7.215764277787407, 7.056834184642255, 6.99370207783167, 6.664627649073921, 6.518895426430953, 6.807222001430107, 7.014202903659835, 7.201759512210322, 6.192475986515595, 5.909751305300306]","[148922.2969679596, 152201.7710591838, 177685.1567977806, 164057.7372303941, 163367.7209778401, 147918.545902723, 148267.6459716657, 153734.9990930631, 156742.8358352374, 173036.773338859, 147926.5600608736, 153250.8123598619]",1802739.040310589,6.666664470040704,20.57921278893372,32.85054285234295,-115.58395303459514
"[123194.0549525465, 121968.199271841, 148417.147770405, 149937.9129286827, 140387.6339031381, 131221.9701930652, 147284.8258065124, 160015.0238507661, 151542.8920384707, 150354.7741936347, 131807.6552329217, 115698.1365740755]","[154.0335887228755, 155.190735588352, 191.3896302736993, 193.909332783076, 183.9501748757194, 172.540538048006, 196.7272998754897, 214.6120585328315, 201.9027081147047, 196.4018817329363, 169.1101279561868, 144.9891172214578]","[4.968825442673403, 5.542526271012572, 6.173859041087074, 6.463644426102532, 5.933876608894173, 5.751351268266868, 6.34604193146741, 6.922969630091337, 6.730090270490155, 6.335544572030204, 5.637004265206228, 4.677068297466382]","[128993.2732027951, 127672.1091778474, 155507.591224976, 156980.1406727183, 147302.6151245382, 137767.4957006998, 154478.8104057319, 167576.5652472463, 158594.2796926133, 157304.6798694112, 137909.5811283877, 121208.6792378483]",1671830.226716062,5.956900168732362,19.08481993968108,33.88691091642455,-118.2373775487654
"[79632.3914813259, 111933.3555270868, 140567.3007882981, 146211.8370579536, 153165.8886936628, 154583.5943566961, 158089.948407021, 157558.4889481555, 156935.1795296364, 145277.6246475198, 122138.1190149474, 93544.72050998427]","[100.3613875569803, 142.2917555736808, 183.6531020394983, 192.6901429267325, 205.2650164251015, 211.3240336872206, 220.4900149020684, 219.1348013329639, 214.2957432329105, 192.5311267035992, 156.4593627605015, 117.8660422725024]","[3.237464114741301, 5.081848413345742, 5.924293614177366, 6.423004764224417, 6.621452142745208, 7.044134456240688, 7.112581125873174, 7.068864559127869, 7.143191441097017, 6.210681506567716, 5.215312092016716, 3.802130395887174]","[83806.81277530357, 117233.4788534823, 147220.2602125375, 153138.9393782008, 160575.9180587504, 161988.1757511191, 165677.7126794733, 165046.861122619, 164178.2199136741, 152013.0149153555, 127858.9911387651, 98233.48165066948]",1619638.44896229,5.907079885503699,18.48902338998046,36.272512875253895,-119.16499750087372
"[141434.1413381812, 136124.0954096352, 166817.1121309482, 164961.5461035733, 163766.0002473061, 154828.58516985, 142822.5469628285, 153357.8555444745, 159267.9887839085, 167804.4232732824, 142965.0464868832, 138229.5897472437]","[173.2232671149272, 168.5816319217624, 213.3979241086108, 212.5330954364335, 216.927995782167, 211.5994728206868, 198.7741286270004, 211.0821585923555, 213.5010466988675, 218.615818943583, 178.0311170403445, 166.8136388684645]","[5.587847326287974, 6.02077256863437, 6.883804003503573, 7.084436514547785, 6.997677283295711, 7.053315760689561, 6.412068665387109, 6.809101890075984, 7.116701556628916, 7.052123191728485, 5.934370568011483, 5.381085124789178]","[148162.7379302353, 142869.4070327808, 174890.898993852, 172772.7998872288, 171496.2728252091, 162242.1664651214, 149845.0272787643, 160671.2706951236, 166715.1223941677, 175431.771014142, 149619.007152614, 144635.9232265952]",1832378.931198109,6.527775371131678,20.917567707741,35.412131840922,-115.38980002136316
"[82899.11905714471, 105485.3588410074, 142775.6216286178, 151396.5067310332, 155342.4511490919, 151673.2151121981, 153671.4701388947, 160196.1459749218, 158322.3614820685, 151474.0055419375, 118434.4457183089, 95026.43748273616]","[104.2702288844545, 133.0217255508843, 184.6750621114563, 199.2397853388306, 208.7224950126359, 208.4344038903217, 214.0190821192839, 222.6141337085494, 217.5241726241309, 199.9231329313386, 152.1831535381359, 118.5141406240029]","[3.363555770466275, 4.750775912531582, 5.957260068111494, 6.641326177961019, 6.732983710085029, 6.947813463010722, 6.903841358686576, 7.181101087372561, 7.250805754137698, 6.449133320365759, 5.072771784604528, 3.823036794322675]","[87199.48199071833, 110547.3916307993, 149513.4902666591, 158503.6131066805, 162829.4042065328, 158970.8817848215, 161100.0723754271, 167778.6956876409, 165611.7039818408, 158439.2938371195, 124019.3805788423, 99765.13447646347]",1626697.138857962,5.922867100137993,18.56960204175753,35.82276824367132,-119.05713471574484
"[137362.3556899989, 139671.9536559245, 152974.9537734591, 158498.5715044625, 159255.9114484837, 142028.170500322, 143383.3799742174, 148788.2025015612, 152641.5558802797, 161856.2827794491, 139208.7088482536, 133497.0352293826]","[174.6835937859342, 180.4036031910742, 202.8285684712713, 212.9146616410085, 221.4887646724141, 201.6456833009944, 206.2318799214592, 214.1901835307626, 214.8455404141825, 219.0657011137625, 182.9467974411539, 167.7292665013441]","[5.634954638255944, 6.442985828252652, 6.542857047460364, 7.097155388033617, 7.144798860400456, 6.721522776699812, 6.652641287789007, 6.909360759056859, 7.161518013806083, 7.06663551979879, 6.098226581371796, 5.410621500043358]","[143676.5278539608, 146236.5345013471, 160126.261653897, 165892.0068537515, 166800.5154257733, 148971.5200290984, 150429.430923116, 155918.5373575403, 159711.7722554069, 169203.407064874, 145581.5304678934, 139584.8455795402]",1769167.081785791,6.573606516747394,20.19597125326245,32.98742165325939,-115.691815819724
"[108307.0759489417, 111079.8387529932, 150216.1086110107, 149229.4758217987, 157004.4453219819, 154934.2289320974, 155209.5969417501, 159760.7077133098, 160521.2769725499, 152139.8192859473, 119008.8147602842, 105131.2211758585]","[135.0680831725886, 141.3427135282609, 195.5470059537489, 196.0070359523754, 207.8557109381982, 210.9676510956009, 216.7963215260773, 223.8212482827805, 219.4381718285178, 202.0600043305869, 150.3031208135903, 129.8693281318704]","[4.357034941051244, 5.047954054580748, 6.307967933991899, 6.53356786507918, 6.705022933490265, 7.03225503652003, 6.993429726647655, 7.220040267186468, 7.31460572761726, 6.518064655825383, 5.010104027119678, 4.189333165544208]","[113542.384628644, 116368.9684540015, 157249.0447431241, 156326.3328475537, 164552.3802340165, 162351.6911214038, 162688.6695475143, 167325.6195098891, 167897.4330963211, 159176.9432566446, 124607.1403182896, 110256.3632884496]",1682542.610238524,6.102448361221168,19.20710742281418,36.272512875253895,-120.26519790918825
